Category ID,OnBuy Category Path
18234,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbook Paper"
9948,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbooking Chipboard"
9942,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbooking Kits"
9944,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbooking Stickers"
9943,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbooking Tools"
9947,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Split Pins"
9945,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Sticker Machines"
9879,"Arts, Crafts & Sewing > Sculpting & Modelling > Sculpting & Modelling Materials > Modelling Compounds"
9875,"Arts, Crafts & Sewing > Sculpting & Modelling > Sculpting & Modelling Materials > Moulding Release Agents"
9876,"Arts, Crafts & Sewing > Sculpting & Modelling > Sculpting & Modelling Tools > Art Moulding & Casting"
18237,"Arts, Crafts & Sewing > Sculpting & Modelling > Sculpting & Modelling Tools > Casting Resin"
9878,"Arts, Crafts & Sewing > Sculpting & Modelling > Sculpting & Modelling Tools > Modelling Tools"
